,Unnamed: 0,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
37,47,Dan Roundfield,Atlanta Hawks,81.0,29.1,2.9,0.499,2588.0,19.7,0.551,9.1,2.9,3.2,0.6098,82.0,0.009,0.9878,1980
38,48,Tom Owens,Portland Trail Blazers,76.0,26.5,1.3,0.514,2337.0,18.1,0.552,6.9,1.1,1.9,0.4634,82.0,0.0,0.9268,1980
39,49,Dave Greenwood,Chicago Bulls,82.0,27.9,2.3,0.474,2791.0,16.2,0.541,6.5,-0.3,1.2,0.3659,82.0,0.0,1.0,1980
40,51,Brian Winters,Milwaukee Bucks,80.0,23.5,1.7,0.496,2623.0,14.8,0.534,6.2,0.2,1.4,0.5976,82.0,0.0,0.9756,1980
41,52,Johnny Davis,Indiana Pacers,82.0,24.1,1.6,0.43,2912.0,13.6,0.495,4.4,-2.0,0.0,0.4512,82.0,0.0,1.0,1980
42,53,Ron Brewer,Portland Trail Blazers,82.0,20.9,1.8,0.466,2815.0,13.2,0.503,4.3,-1.2,0.6,0.4634,82.0,0.0,1.0,1980
43,54,James Edwards,Indiana Pacers,82.0,24.2,2.0,0.512,2314.0,17.6,0.545,6.7,-0.5,0.9,0.4512,82.0,0.0,1.0,1980
44,55,Greg Ballard,Washington Bullets,82.0,25.3,1.5,0.502,2438.0,18.1,0.532,6.9,2.0,2.5,0.4756,82.0,0.0,1.0,1980
45,57,Michael Ray Richardson,New York Knicks,82.0,32.0,3.6,0.485,3060.0,17.8,0.517,6.0,3.1,3.9,0.4756,82.0,0.0,1.0,1980
46,58,Dave Robisch,Cleveland Cavaliers,82.0,25.6,1.2,0.52,2670.0,17.2,0.578,8.6,1.8,2.6,0.4512,82.0,0.0,1.0,1980
47,59,Alvan Adams,Phoenix Suns,75.0,27.3,2.1,0.531,2168.0,19.2,0.571,7.0,3.6,3.1,0.6707,82.0,0.0,0.9146,1980
48,60,George McGinnis,Indiana Pacers,73.0,28.9,1.7,0.453,2208.0,15.2,0.487,1.9,-1.2,0.4,0.4512,82.0,0.0,0.8902,1980
49,62,Darryl Dawkins,Philadelphia 76ers,80.0,25.3,2.4,0.522,2541.0,14.6,0.548,5.7,-1.2,0.5,0.7195,82.0,0.0,0.9756,1980
50,63,Sonny Parker,Golden State Warriors,82.0,23.5,2.5,0.489,2849.0,16.2,0.537,6.8,1.8,2.7,0.2927,82.0,0.0,1.0,1980
51,65,Jack Sikma,Seattle SuperSonics,82.0,28.8,1.7,0.475,2793.0,16.5,0.526,8.6,1.8,2.7,0.6829,82.0,0.0,1.0,1980
