,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Michael Jordan,Chicago Bulls,82.0,31.5,5.5,6.0,3.7,0.547,3034.0,31.6,0.605,32.9,20.3,12.0,10.8,0.7439,82.0,0.928,1.0,1991
1,Karl Malone,Utah Jazz,82.0,29.0,3.3,11.8,2.1,0.528,3302.0,24.8,0.596,30.1,15.5,5.4,6.2,0.6585,82.0,0.148,1.0,1991
2,Bernard King,Washington Bullets,64.0,28.4,4.6,5.0,1.2,0.475,2401.0,19.1,0.527,34.4,3.5,1.1,1.8,0.3659,82.0,0.007,0.7805,1991
3,Charles Barkley,Philadelphia 76ers,67.0,27.6,4.2,10.1,2.1,0.589,2498.0,28.9,0.635,29.1,13.4,9.3,7.0,0.5366,82.0,0.231,0.8171,1991
4,Patrick Ewing,New York Knicks,81.0,26.6,3.0,11.2,4.2,0.514,3104.0,23.7,0.561,31.1,10.0,4.2,4.9,0.4756,82.0,0.021,0.9878,1991
5,Michael Adams,Denver Nuggets,66.0,26.5,10.5,3.9,2.3,0.453,2346.0,22.3,0.53,28.5,6.3,5.3,4.3,0.2439,82.0,0,0.8049,1991
6,Dominique Wilkins,Atlanta Hawks,81.0,25.9,3.3,9.0,2.3,0.495,3078.0,23.5,0.555,28.1,11.4,4.9,5.4,0.5244,82.0,0.03,0.9878,1991
7,Chris Mullin,Golden State Warriors,82.0,25.7,4.0,5.4,2.9,0.55,3315.0,21.4,0.618,23.5,12.2,4.7,5.6,0.5366,82.0,0,1.0,1991
8,David Robinson,San Antonio Spurs,82.0,25.6,2.5,13.0,5.4,0.552,3095.0,27.4,0.615,26.6,17.0,8.5,8.2,0.6707,82.0,0.496,1.0,1991
10,Mitch Richmond,Golden State Warriors,77.0,23.9,3.1,5.9,2.0,0.508,3027.0,17.8,0.565,24.5,7.1,1.0,2.3,0.5366,82.0,0,0.939,1991
11,Tim Hardaway,Golden State Warriors,82.0,22.9,9.7,4.0,2.7,0.508,3215.0,20.9,0.547,24.7,9.9,4.4,5.2,0.5366,82.0,0.001,1.0,1991
12,Reggie Miller,Indiana Pacers,82.0,22.6,4.0,3.4,1.5,0.56,2972.0,21.2,0.65,22.5,12.5,4.2,4.6,0.5,82.0,0,1.0,1991
13,Kevin Johnson,Phoenix Suns,77.0,22.2,10.1,3.5,2.2,0.52,2772.0,23.7,0.604,24.8,12.7,6.6,6.0,0.6707,82.0,0.033,0.939,1991
14,Hersey Hawkins,Philadelphia 76ers,80.0,22.1,3.7,3.9,2.7,0.515,3110.0,19.4,0.592,24.0,9.8,3.3,4.1,0.5366,82.0,0,0.9756,1991
15,Tony Campbell,Minnesota Timberwolves,77.0,21.8,2.8,4.5,2.2,0.439,2893.0,16.6,0.494,28.1,3.7,-0.2,1.3,0.3537,82.0,0,0.939,1991
16,Brad Daugherty,Cleveland Cavaliers,76.0,21.6,3.3,10.9,1.6,0.524,2946.0,19.9,0.583,24.0,9.0,2.2,3.1,0.4024,82.0,0,0.9268,1991
17,Clyde Drexler,Portland Trail Blazers,82.0,21.5,6.0,6.7,2.5,0.505,2852.0,22.1,0.563,25.7,12.4,6.8,6.4,0.7683,82.0,0.078,1.0,1991
18,James Worthy,Los Angeles Lakers,78.0,21.4,3.5,4.6,1.7,0.501,3008.0,18.1,0.531,24.6,9.0,2.5,3.4,0.7073,82.0,0,0.9512,1991
20,Ricky Pierce,Seattle SuperSonics,78.0,20.5,2.2,2.4,1.0,0.505,2167.0,21.0,0.586,29.7,7.9,2.3,2.4,0.5,82.0,0,0.9512,1991
21,Joe Dumars,Detroit Pistons,80.0,20.4,5.5,2.3,1.2,0.487,3046.0,18.0,0.552,24.0,9.9,2.7,3.6,0.6098,82.0,0.008,0.9756,1991
23,Antoine Carr,Sacramento Kings,77.0,20.1,2.5,5.5,1.9,0.511,2527.0,18.3,0.554,27.2,5.4,0.8,1.8,0.3049,82.0,0,0.939,1991
24,Charles Smith,Los Angeles Clippers,74.0,20.0,1.8,8.2,3.1,0.469,2703.0,17.6,0.536,23.2,7.4,1.1,2.1,0.378,82.0,0,0.9024,1991
26,Rolando Blackman,Dallas Mavericks,80.0,19.9,3.8,3.2,1.1,0.497,2965.0,16.6,0.545,24.2,5.5,0.0,1.5,0.3415,82.0,0,0.9756,1991
27,Tom Chambers,Phoenix Suns,76.0,19.9,2.6,6.4,1.6,0.445,2475.0,16.2,0.513,27.2,5.4,-0.9,0.7,0.6707,82.0,0,0.9268,1991
28,Derek Harper,Dallas Mavericks,77.0,19.7,7.1,3.0,2.1,0.503,2879.0,19.4,0.543,24.2,7.6,3.1,3.7,0.3415,82.0,0,0.939,1991
31,Magic Johnson,Los Angeles Lakers,79.0,19.4,12.5,7.0,1.5,0.518,2933.0,25.1,0.623,22.9,15.4,9.0,8.1,0.7073,82.0,0.518,0.9634,1991
32,Larry Nance,Cleveland Cavaliers,80.0,19.2,3.0,8.6,3.3,0.525,2927.0,20.6,0.567,22.2,9.8,3.6,4.2,0.4024,82.0,0,0.9756,1991
33,Reggie Lewis,Boston Celtics,79.0,18.7,2.5,5.2,2.3,0.491,2878.0,16.2,0.54,22.2,7.5,0.7,1.9,0.6829,82.0,0,0.9634,1991
34,Jeff Malone,Utah Jazz,69.0,18.6,2.1,3.0,0.8,0.508,2466.0,14.4,0.56,22.5,5.1,-2.0,0.0,0.6585,82.0,0,0.8415,1991
35,Reggie Theus,New Jersey Nets,81.0,18.6,4.7,2.8,1.4,0.488,2955.0,14.2,0.54,22.4,4.7,-1.1,0.6,0.3171,82.0,0,0.9878,1991
36,Sherman Douglas,Miami Heat,73.0,18.5,8.5,2.9,1.8,0.506,2562.0,18.0,0.546,24.0,5.4,1.8,2.5,0.2927,82.0,0,0.8902,1991
37,Derrick Coleman,New Jersey Nets,74.0,18.4,2.2,10.3,2.3,0.473,2602.0,17.6,0.527,23.3,5.8,0.4,1.5,0.3171,82.0,0,0.9024,1991
38,Kevin McHale,Boston Celtics,68.0,18.4,1.9,7.1,2.5,0.561,2067.0,21.2,0.606,23.9,7.9,3.1,2.7,0.6829,82.0,0.001,0.8293,1991
39,Chuck Person,Indiana Pacers,80.0,18.4,3.0,5.2,0.9,0.532,2566.0,16.1,0.553,24.8,3.9,-0.7,0.8,0.5,82.0,0,0.9756,1991
40,Harvey Grant,Washington Bullets,77.0,18.2,2.6,7.2,2.0,0.498,2842.0,16.5,0.527,21.4,6.7,0.7,1.9,0.3659,82.0,0,0.939,1991
41,Tyrone Corbin,Minnesota Timberwolves,82.0,18.0,4.2,7.2,2.6,0.449,3196.0,16.6,0.499,22.7,5.4,0.9,2.3,0.3537,82.0,0,1.0,1991
42,Lionel Simmons,Sacramento Kings,79.0,18.0,4.0,8.8,2.5,0.423,2978.0,15.4,0.476,25.3,2.7,-0.4,1.2,0.3049,82.0,0,0.9634,1991
43,Scottie Pippen,Chicago Bulls,82.0,17.8,6.2,7.3,3.5,0.529,3014.0,20.6,0.561,21.8,11.2,5.8,5.9,0.7439,82.0,0,1.0,1991
44,Kenny Smith,Houston Rockets,78.0,17.7,7.1,2.1,1.5,0.545,2699.0,18.3,0.599,21.2,9.0,2.9,3.3,0.6341,82.0,0.005,0.9512,1991
45,Terry Cummings,San Antonio Spurs,67.0,17.6,2.3,7.8,1.3,0.487,2195.0,16.3,0.514,24.2,5.6,0.2,1.2,0.6707,82.0,0,0.8171,1991
46,Otis Thorpe,Houston Rockets,82.0,17.5,2.4,10.3,1.1,0.557,3039.0,17.2,0.598,19.2,10.4,1.2,2.5,0.6341,82.0,0,1.0,1991
47,Ken Norman,Los Angeles Clippers,70.0,17.4,2.3,7.1,1.8,0.504,2309.0,16.4,0.526,22.8,4.8,0.5,1.5,0.378,82.0,0,0.8537,1991
48,Glen Rice,Miami Heat,77.0,17.4,2.5,4.9,1.6,0.491,2646.0,14.1,0.522,22.4,4.4,-0.5,1.0,0.2927,82.0,0,0.939,1991
49,Scott Skiles,Orlando Magic,79.0,17.2,8.4,3.4,1.2,0.489,2714.0,17.8,0.563,21.8,7.0,1.9,2.7,0.378,82.0,0,0.9634,1991
50,John Stockton,Utah Jazz,82.0,17.2,14.2,2.9,3.1,0.537,3103.0,23.4,0.604,20.9,14.0,8.3,8.1,0.6585,82.0,0.016,1.0,1991
51,Pooh Richardson,Minnesota Timberwolves,82.0,17.1,9.0,3.5,1.8,0.486,3154.0,18.1,0.492,21.8,5.9,2.0,3.2,0.3537,82.0,0,1.0,1991
52,Xavier McDaniel,Phoenix Suns,81.0,17.0,2.3,6.9,1.5,0.497,2634.0,15.2,0.527,23.2,5.1,-0.5,1.0,0.6707,82.0,0,0.9878,1991
53,Vernon Maxwell,Houston Rockets,82.0,17.0,3.7,2.9,1.7,0.473,2870.0,13.5,0.507,22.2,5.9,0.6,1.9,0.6341,82.0,0,1.0,1991
54,Terry Porter,Portland Trail Blazers,81.0,17.0,8.0,3.5,2.1,0.584,2665.0,21.7,0.632,19.6,13.0,7.4,6.2,0.7683,82.0,0.026,0.9878,1991
55,Jeff Hornacek,Phoenix Suns,80.0,16.9,5.1,4.0,1.6,0.547,2733.0,17.8,0.587,19.1,9.7,3.3,3.7,0.6707,82.0,0,0.9756,1991
59,Eddie Johnson,Seattle SuperSonics,81.0,16.7,1.4,3.3,0.8,0.501,2085.0,17.8,0.548,27.2,5.5,-0.3,0.9,0.5,82.0,0,0.9878,1991
60,Armen Gilliam,Philadelphia 76ers,75.0,16.6,1.4,8.0,1.6,0.487,2644.0,15.5,0.542,21.6,4.6,-1.8,0.1,0.5366,82.0,0,0.9146,1991
61,Rony Seikaly,Miami Heat,64.0,16.4,1.5,11.1,2.1,0.482,2171.0,15.2,0.522,22.7,3.0,-1.7,0.1,0.2927,82.0,0,0.7805,1991
62,Kiki Vandeweghe,New York Knicks,75.0,16.3,1.5,2.4,0.7,0.522,2420.0,14.4,0.582,20.9,5.7,-0.8,0.7,0.4756,82.0,0,0.9146,1991
64,Detlef Schrempf,Indiana Pacers,82.0,16.1,3.7,8.0,1.0,0.529,2632.0,18.6,0.618,19.8,9.0,2.0,2.6,0.5,82.0,0,1.0,1991
65,Sean Elliott,San Antonio Spurs,82.0,15.9,2.9,5.6,1.2,0.5,3044.0,14.2,0.564,17.8,8.8,0.8,2.1,0.6707,82.0,0,1.0,1991
66,Danny Manning,Los Angeles Clippers,73.0,15.9,2.7,5.8,2.4,0.519,2197.0,16.9,0.557,22.7,5.2,2.0,2.2,0.378,82.0,0,0.8902,1991
68,Kevin Duckworth,Portland Trail Blazers,81.0,15.8,1.1,6.6,0.8,0.481,2511.0,12.7,0.525,22.8,4.3,-3.3,-0.8,0.7683,82.0,0,0.9878,1991
70,Dennis Scott,Orlando Magic,82.0,15.7,1.6,2.9,1.1,0.478,2336.0,13.0,0.504,24.4,2.6,-1.5,0.3,0.378,82.0,0,1.0,1991
71,Kevin Gamble,Boston Celtics,82.0,15.6,3.1,3.3,1.6,0.587,2706.0,16.3,0.62,18.4,8.3,1.2,2.2,0.6829,82.0,0,1.0,1991
72,Derrick McKey,Seattle SuperSonics,73.0,15.3,2.3,5.8,2.0,0.519,2503.0,15.7,0.575,18.9,6.4,1.1,1.9,0.5,82.0,0,0.8902,1991
73,Jay Humphries,Milwaukee Bucks,80.0,15.2,6.7,2.8,1.7,0.533,2726.0,17.4,0.57,19.1,8.6,2.1,2.9,0.5854,82.0,0,0.9756,1991
74,Doc Rivers,Atlanta Hawks,79.0,15.2,4.3,3.2,2.5,0.478,2586.0,16.2,0.527,20.1,6.3,1.9,2.6,0.5244,82.0,0,0.9634,1991
75,Shawn Kemp,Seattle SuperSonics,81.0,15.0,1.8,8.4,2.5,0.509,2442.0,17.6,0.551,22.4,6.1,0.0,1.2,0.5,82.0,0,0.9878,1991
76,Robert Parish,Boston Celtics,81.0,14.9,0.8,10.6,2.1,0.598,2441.0,20.6,0.637,19.0,10.0,2.2,2.6,0.6829,82.0,0.01,0.9878,1991
77,Jerome Kersey,Portland Trail Blazers,73.0,14.8,3.1,6.6,2.4,0.48,2359.0,15.6,0.526,20.3,6.7,1.9,2.3,0.7683,82.0,0,0.8902,1991
