,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Boston Celtics,82,240.6,38.4,86.8,0.442,14.0,39.1,0.358,24.3,47.6,0.511,16.4,21.2,0.775,10.9,30.4,41.2,24.7,6.2,4.1,12.4,18.4,107.2
1,2.0,Oklahoma City Thunder*,82,242.1,38.7,88.4,0.437,14.3,38.9,0.369,24.3,49.5,0.491,16.2,21.9,0.74,11.9,33.3,45.2,25.0,7.6,4.4,16.7,20.4,107.9
2,3.0,Detroit Pistons*,82,241.5,37.8,85.2,0.443,12.7,36.8,0.345,25.1,48.5,0.517,21.4,27.2,0.788,11.3,29.3,40.5,23.5,8.9,5.8,16.9,21.3,109.6
3,4.0,Houston Rockets,82,242.7,40.5,88.0,0.46,12.4,35.3,0.351,28.1,52.7,0.533,16.7,22.1,0.756,11.3,28.2,39.5,24.5,9.0,4.7,13.4,20.0,110.0
4,5.0,New York Knicks,82,240.9,39.3,85.5,0.46,13.9,38.4,0.362,25.4,47.2,0.539,17.6,22.7,0.778,10.0,30.5,40.5,25.0,7.3,4.3,14.4,19.5,110.1
5,6.0,Phoenix Suns,82,240.9,40.2,85.5,0.47,12.2,35.1,0.347,28.0,50.4,0.556,18.6,23.6,0.785,11.8,31.9,43.7,25.1,7.9,4.5,16.3,18.9,111.1
6,7.0,Charlotte Hornets,82,240.9,41.0,87.9,0.467,12.8,35.7,0.359,28.2,52.2,0.54,16.3,20.4,0.801,10.2,29.1,39.3,25.9,8.2,4.4,12.7,19.8,111.2
7,8.0,San Antonio Spurs*,82,240.6,41.0,91.1,0.451,13.0,36.9,0.352,28.0,54.2,0.518,16.4,20.8,0.79,10.4,32.1,42.6,26.2,7.7,4.6,13.0,20.2,111.5
8,9.0,Toronto Raptors,82,241.2,40.1,85.9,0.467,12.5,35.9,0.349,27.6,50.0,0.551,19.0,24.0,0.793,11.0,31.9,42.9,24.5,7.8,5.0,16.1,19.8,111.8
9,10.0,Los Angeles Clippers,82,241.2,41.0,87.5,0.469,13.3,36.4,0.364,27.8,51.1,0.543,17.3,21.7,0.796,11.5,30.8,42.4,26.1,8.5,4.6,14.3,20.1,112.6
10,11.0,Minnesota Timberwolves,82,241.2,41.4,89.7,0.462,12.1,34.0,0.355,29.3,55.7,0.527,19.8,25.3,0.781,11.8,32.0,43.7,26.0,8.3,4.1,15.0,20.5,114.6
11,12.0,Los Angeles Lakers,82,240.3,42.5,88.1,0.483,12.8,36.4,0.352,29.7,51.7,0.574,16.8,21.2,0.792,10.9,30.1,41.0,27.4,8.9,3.5,14.6,21.0,114.6
12,13.0,Orlando Magic,82,241.8,41.7,87.7,0.476,12.1,34.3,0.353,29.6,53.4,0.555,19.6,25.0,0.781,10.5,32.9,43.3,25.3,8.2,5.4,14.9,21.9,115.1
13,14.0,Golden State Warriors,82,241.5,42.4,88.3,0.48,12.9,35.9,0.36,29.4,52.4,0.562,17.5,21.8,0.802,11.5,32.7,44.2,27.1,8.8,4.2,15.9,18.6,115.2
14,15.0,Cleveland Cavaliers,82,240.9,41.3,89.1,0.464,14.2,38.1,0.372,27.1,50.9,0.533,18.6,23.4,0.794,11.3,31.9,43.2,26.9,8.6,4.3,15.0,20.5,115.4
15,16.0,Portland Trail Blazers,82,240.9,42.0,89.3,0.471,12.5,35.0,0.358,29.5,54.3,0.543,19.2,24.3,0.79,12.0,31.0,43.0,26.4,10.8,5.7,15.6,22.0,115.8
16,17.0,Brooklyn Nets,82,240.9,42.2,84.7,0.497,12.5,32.9,0.381,29.6,51.9,0.571,19.1,24.6,0.775,10.2,33.4,43.6,27.5,9.1,5.3,14.5,19.5,115.9
17,18.0,Atlanta Hawks,82,240.9,42.4,89.4,0.474,12.9,36.3,0.355,29.5,53.2,0.554,18.5,23.2,0.794,11.1,34.1,45.2,26.6,8.5,4.9,16.1,18.5,116.0
18,19.0,Philadelphia 76ers,82,242.4,41.8,89.6,0.467,13.4,37.9,0.353,28.5,51.7,0.55,19.0,24.2,0.785,12.1,33.2,45.3,27.6,7.3,5.1,15.4,19.9,116.1
19,20.0,Milwaukee Bucks,82,240.9,41.5,87.8,0.473,14.8,39.5,0.375,26.7,48.3,0.554,18.9,24.1,0.785,11.1,33.4,44.5,27.9,8.7,4.1,13.1,17.6,116.8
20,21.0,Denver Nuggets,82,243.0,42.7,91.2,0.468,13.6,39.1,0.349,29.1,52.1,0.558,17.8,23.1,0.771,11.2,31.6,42.8,27.5,7.8,4.6,11.8,21.5,116.9
21,22.0,Miami Heat,82,240.3,43.3,93.0,0.465,14.0,39.0,0.359,29.3,54.1,0.542,18.0,22.4,0.804,11.6,34.8,46.4,27.5,7.9,4.9,15.0,20.3,118.5
22,23.0,Dallas Mavericks,82,242.1,44.8,93.8,0.478,12.8,36.5,0.35,32.0,57.3,0.559,17.2,22.3,0.77,12.0,34.8,46.8,28.4,8.8,5.3,13.4,21.0,119.6
23,24.0,New Orleans Pelicans,82,241.5,43.8,91.7,0.477,14.2,40.5,0.35,29.6,51.2,0.578,18.3,23.6,0.774,12.7,33.1,45.8,28.1,8.0,5.8,14.5,20.2,120.0
24,25.0,Indiana Pacers,82,240.9,44.3,90.5,0.489,12.1,34.1,0.355,32.2,56.5,0.57,19.8,25.6,0.773,11.2,35.4,46.7,26.4,8.1,4.8,13.5,19.9,120.4
25,26.0,Memphis Grizzlies,82,240.6,44.1,91.0,0.485,14.0,38.6,0.364,30.0,52.4,0.574,18.5,23.8,0.775,12.7,34.0,46.8,28.2,8.8,5.3,15.5,19.5,120.7
26,27.0,Sacramento Kings,82,240.9,44.0,89.0,0.494,13.8,36.5,0.379,30.1,52.5,0.574,19.2,24.4,0.789,11.1,32.8,43.9,28.0,8.7,4.7,14.0,18.3,121.0
27,28.0,Chicago Bulls,82,240.9,44.8,93.7,0.478,14.1,38.2,0.368,30.8,55.5,0.554,17.8,23.0,0.774,11.3,34.4,45.7,28.8,9.1,5.6,13.0,18.8,121.5
28,29.0,Washington Wizards,82,240.9,44.9,92.0,0.488,13.7,37.2,0.368,31.2,54.8,0.569,21.4,26.8,0.797,13.1,34.7,47.8,29.4,9.7,5.4,13.8,17.9,124.9
29,30.0,Utah Jazz,82,241.8,45.0,91.2,0.494,15.3,41.1,0.372,29.7,50.1,0.594,20.7,26.6,0.777,11.8,33.9,45.7,30.7,9.3,5.8,14.6,20.3,126.0
30,,League Average,82,241.3,42.0,89.1,0.471,13.3,37.0,0.36,28.7,52.1,0.55,18.4,23.5,0.783,11.4,32.4,43.8,26.7,8.4,4.8,14.5,19.9,115.6
