,PLAYER_NAME,TEAM_ABBREVIATION,PIE
18,Alondes Williams,LAC,0.4
180,Giannis Antetokounmpo,MIL,0.21
423,Nikola Jokić,DEN,0.206
359,Leonard Miller,MIN,0.202
490,Shai Gilgeous-Alexander,OKC,0.199
28,Anthony Davis,DAL,0.179
366,Luka Dončić,LAL,0.17
358,LeBron James,LAL,0.169
277,Joel Embiid,PHI,0.169
550,Victor Wembanyama,SAS,0.168
441,PJ Hall,DEN,0.168
567,Zion Williamson,NOP,0.167
406,Moritz Wagner,ORL,0.165
146,Domantas Sabonis,SAC,0.164
314,Karl-Anthony Towns,NYK,0.161
519,Tony Bradley,IND,0.16
387,Mason Jones,SAC,0.159
263,Jayson Tatum,BOS,0.158
443,Paolo Banchero,ORL,0.157
204,Ivica Zubac,LAC,0.157
383,Mark Williams,CHA,0.156
243,James Wiseman,IND,0.156
407,Moses Brown,DAL,0.154
19,Alperen Sengun,HOU,0.153
170,Franz Wagner,ORL,0.153
69,Cade Cunningham,DET,0.152
169,Evan Mobley,CLE,0.151
518,Tolu Smith,DET,0.149
251,Jarrett Allen,CLE,0.148
283,Jonas Valančiūnas,SAC,0.147
498,Stephen Curry,GSW,0.145
274,Jimmy Butler III,GSW,0.145
241,James Harden,LAC,0.145
112,Damian Lillard,MIL,0.144
543,Tyrese Haliburton,IND,0.143
330,Kevin Durant,PHX,0.142
207,Ja Morant,MEM,0.141
115,Daniel Gafford,DAL,0.141
29,Anthony Edwards,MIN,0.14
434,Oscar Tshiebwe,UTA,0.14
227,Jalen Duren,DET,0.14
540,Tyler Herro,MIA,0.139
486,Scottie Barnes,TOR,0.139
235,Jalen Williams,OKC,0.138
197,Isaiah Hartenstein,OKC,0.138
226,Jalen Brunson,NYK,0.138
149,Donovan Mitchell,CLE,0.137
38,Bam Adebayo,MIA,0.137
472,Robert Williams III,POR,0.137
425,Nikola Vučević,CHI,0.136
230,Jalen Johnson,ATL,0.135
400,Miles Bridges,CHA,0.135
468,Richaun Holmes,WAS,0.135
538,Ty Jerome,CLE,0.134
125,Day'Ron Sharpe,BKN,0.134
316,Kawhi Leonard,LAC,0.134
181,Goga Bitadze,ORL,0.134
224,Jakob Poeltl,TOR,0.133
220,Jahlil Okafor,IND,0.133
233,Jalen Smith,CHI,0.133
345,Kristaps Porziņģis,BOS,0.132
46,Bobby Portis,MIL,0.131
313,Kai Jones,DAL,0.131
140,Desmond Bane,ORL,0.131
444,Pascal Siakam,IND,0.13
